Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,FREQ:Frequency,M:Monthly,2026-04-16,2026-04-18 13:19 CEST,BIS,https://data.bis.org/topics/CBPOL/data?data_view=table&filter=FREQ%3DM%255EYEAR%3D2010%257C2011%257C2012%257C2013%257C2014%257C2015%257C2016%257C2018%257C2019%257C2020%257C2021%257C2022%257C2023%257C2024%257C2025,https://data.bis.org/topics/CBPOL/data?data_view=table&filter=FREQ%3DM%255EYEAR%3D2010%257C2011%257C2012%257C2013%257C2014%257C2015%257C2016%257C2018%257C2019%257C2020%257C2021%257C2022%257C2023%257C2024%257C2025&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBPOL
,,YEAR:Year,"2010:,2011:,2012:,2013:,2014:,2015:,2016:,2018:,2019:,2020:,2021:,2022:,2023:,2024:,2025:",,,,,,
,,TOPIC:Topic,CBPOL:Central bank statistics / Central bank policy rates,,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-04-30,F:Free,,A:Normal value,25.9701
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-05-31,F:Free,,A:Normal value,26.0401
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-06-30,F:Free,,A:Normal value,26.0401
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-07-31,F:Free,,A:Normal value,25.9237
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-08-31,F:Free,,A:Normal value,25.8188
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-09-30,F:Free,,A:Normal value,26.0367
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-10-31,F:Free,,A:Normal value,28.9307
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-11-30,F:Free,,A:Normal value,29.0366
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2015-12-31,F:Free,,A:Normal value,33.0009
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-01-31,F:Free,,A:Normal value,30.7503
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-02-29,F:Free,,A:Normal value,31.1461
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-03-31,F:Free,,A:Normal value,38.0008
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-04-30,F:Free,,A:Normal value,37.9997
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-05-31,F:Free,,A:Normal value,35.2503
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-06-30,F:Free,,A:Normal value,30.7503
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-07-31,F:Free,,A:Normal value,30.2498
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-08-31,F:Free,,A:Normal value,28.2505
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-09-30,F:Free,,A:Normal value,26.7498
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-10-31,F:Free,,A:Normal value,26.7498
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-11-30,F:Free,,A:Normal value,24.7503
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2016-12-31,F:Free,,A:Normal value,24.7503
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-01-31,F:Free,,A:Normal value,27.25
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-02-28,F:Free,,A:Normal value,27.25
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-03-31,F:Free,,A:Normal value,27.25
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-04-30,F:Free,,A:Normal value,30.25
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-05-31,F:Free,,A:Normal value,40.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-06-30,F:Free,,A:Normal value,40.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-07-31,F:Free,,A:Normal value,40.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-08-31,F:Free,,A:Normal value,60.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-09-30,F:Free,,A:Normal value,65.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-10-31,F:Free,,A:Normal value,68.048
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-11-30,F:Free,,A:Normal value,60.753
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2018-12-31,F:Free,,A:Normal value,59.252
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-01-31,F:Free,,A:Normal value,53.687
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-02-28,F:Free,,A:Normal value,50.127
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-03-31,F:Free,,A:Normal value,68.155
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-04-30,F:Free,,A:Normal value,73.93
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-05-31,F:Free,,A:Normal value,70.73
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-06-30,F:Free,,A:Normal value,62.688
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-07-31,F:Free,,A:Normal value,60.396
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-08-31,F:Free,,A:Normal value,83.264
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-09-30,F:Free,,A:Normal value,78.372
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-10-31,F:Free,,A:Normal value,68.002
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-11-30,F:Free,,A:Normal value,63.002
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2019-12-31,F:Free,,A:Normal value,55.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-01-31,F:Free,,A:Normal value,50.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-02-29,F:Free,,A:Normal value,40.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-03-31,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-04-30,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-05-31,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-06-30,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-07-31,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-08-31,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-09-30,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-10-31,F:Free,,A:Normal value,36.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-11-30,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2020-12-31,F:Free,,A:Normal value,38.0
"BIS,WS_CBPOL,1.0",M.AR,M:Monthly,AR:Argentina,Per cent per year,Units,2021-01-31,F:Free,,A:Normal value,38.0
